,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,ÉâÉìÉ_ÉÄ,ÉÇÉìÉeÉJÉãÉçñÿíTçı
,,,1,-0.005940364,0.023256246
,,,3,0.009134023,0.018755293
,,,5,0.014671271,0.03453047
,,,7,0.0389088,0.047960453
,,,9,0.059294872,0.06636507
,,,11,0.088156246,0.10180576
,,,13,0.11678585,0.13326795
,,,15,0.15345076,0.16032256
,,,17,0.18832585,0.20611177
,,,19,0.21715525,0.22735126
,,,21,0.24658899,0.25162277
,,,23,0.2651382,0.27375498
,,,25,0.2819126,0.294048
,,,27,0.30196804,0.3037076
,,,29,0.32118994,0.329395
,,,31,0.32525548,0.3515839
,,,33,0.33463383,0.34312454
,,,35,0.3448779,0.36977354
,,,37,0.3352742,0.4047275
,,,39,0.35050204,0.3983389
,,,41,0.35535994,0.4585133
,,,43,0.37004277,0.43769467
,,,45,0.39075366,0.48214793
,,,47,0.3921113,0.44024923
,,,49,0.36997238,0.5026639
,,,51,0.38347176,0.44079047
,,,53,0.39379343,0.51474404
,,,55,0.4043922,0.54977614
,,,57,0.40451553,0.5984309
,,,59,0.38250816,0.63103116
,,,61,0.40985516,0.42911854
,,,63,0.4237442,0.514641
,,,65,0.4492872,0.53553855
,,,67,0.39246473,0.47011134
,,,69,0.36035493,0.5145973
,,,71,0.3531439,0.58257717
,,,73,0.3703713,0.64870745
,,,75,0.46358746,0.65731114
,,,77,0.39449283,0.68676054
,,,79,0.4339837,0.6436779
,,,81,0.48436245,0.70692605
,,,83,0.5774026,0.8315971
,,,85,0.5125008,0.8272107
,,,87,0.50857157,0.7887953
,,,89,0.3932085,0.8404378
,,,91,0.4084123,0.7867645
,,,93,0.49177152,0.82160074
,,,95,0.47521958,0.83961505
,,,97,0.47867048,
